Country,Date,Song_Title,Artist,Streams,Rank
United States,2020-02-09,Intentions,"Justin Bieber, Quavo","1,019,953",4
United States,2020-02-09,High Fashion (feat. Mustard),Roddy Ricch,"962,504",5
United States,2020-02-09,Blinding Lights,The Weeknd,"954,750",6
United States,2020-02-09,Falling,Trevor Daniel,"932,077",7
United States,2020-02-09,Don't Start Now,Dua Lipa,"916,006",8
United States,2020-02-09,Godzilla (feat. Juice WRLD),Eminem,"895,357",9
United States,2020-02-09,Circles,Post Malone,"874,641",10
United States,2020-02-10,The Box,Roddy Ricch,"2,494,136",1
United States,2020-02-10,Life Is Good (feat. Drake),Future,"1,606,776",2
United States,2020-02-10,Intentions,"Justin Bieber, Quavo","1,228,096",3
United States,2020-02-10,ROXANNE,Arizona Zervas,"1,044,401",4
United States,2020-02-10,High Fashion (feat. Mustard),Roddy Ricch,"1,040,025",5
United States,2020-02-10,Blinding Lights,The Weeknd,"1,027,141",6
United States,2020-02-10,Godzilla (feat. Juice WRLD),Eminem,"991,645",7
United States,2020-02-10,Don't Start Now,Dua Lipa,"969,361",8
United States,2020-02-10,Falling,Trevor Daniel,"961,115",9
United States,2020-02-10,everything i wanted,Billie Eilish,"933,423",10
United States,2020-02-11,The Box,Roddy Ricch,"2,591,961",1
United States,2020-02-11,Life Is Good (feat. Drake),Future,"1,691,880",2
United States,2020-02-11,Intentions,"Justin Bieber, Quavo","1,249,484",3
United States,2020-02-11,High Fashion (feat. Mustard),Roddy Ricch,"1,118,927",4
United States,2020-02-11,ROXANNE,Arizona Zervas,"1,066,177",5
United States,2020-02-11,Blinding Lights,The Weeknd,"1,059,475",6
United States,2020-02-11,Godzilla (feat. Juice WRLD),Eminem,"1,014,658",7
United States,2020-02-11,Don't Start Now,Dua Lipa,"994,727",8
United States,2020-02-11,Falling,Trevor Daniel,"980,216",9
United States,2020-02-11,Circles,Post Malone,"952,843",10
